customer_id,month,rental_count,total_spending,prev_rental,prev_spending,segment_next,predicted_segment,is_correct,cluster,segment
1,2005-07-01,12,50.88,7,31.93,High Value,Loyal,False,2,High Value
1,2005-08-01,11,31.89,12,50.88,Loyal,Low Value,False,0,Low Value
2,2005-07-01,14,75.86,1,2.99,High Value,High Value,True,2,High Value
2,2005-08-01,11,44.89,14,75.86,High Value,High Value,True,0,Low Value
3,2005-07-01,13,68.87,4,25.96,High Value,High Value,True,2,High Value
3,2005-08-01,7,35.93,13,68.87,Low Value,Low Value,True,0,Low Value
4,2005-07-01,5,21.95,6,16.94,Low Value,Low Value,True,1,Loyal
4,2005-08-01,11,42.89,5,21.95,High Value,Low Value,False,1,Loyal
5,2005-07-01,16,59.84,5,19.95,High Value,Low Value,False,2,High Value
5,2005-08-01,13,53.87,16,59.84,High Value,High Value,True,2,High Value
5,2006-02-01,1,0.99,13,53.87,Low Value,Low Value,True,0,Low Value
6,2005-07-01,9,26.91,4,8.96,Low Value,Low Value,True,1,Loyal
6,2005-08-01,12,48.88,9,26.91,High Value,High Value,True,2,High Value
7,2005-07-01,11,59.89,5,10.95,High Value,High Value,True,2,High Value
7,2005-08-01,12,59.88,11,59.89,High Value,High Value,True,2,High Value
8,2005-07-01,12,35.88,3,13.97,Loyal,High Value,False,1,Loyal
8,2005-08-01,8,35.92,12,35.88,Low Value,Low Value,True,0,Low Value
9,2005-07-01,9,28.91,2,12.98,Low Value,Low Value,True,1,Loyal
9,2005-08-01,8,31.92,9,28.91,Low Value,High Value,False,1,Loyal
9,2006-02-01,1,4.99,8,31.92,Low Value,Low Value,True,0,Low Value
10,2005-07-01,11,45.89,5,15.95,High Value,Low Value,False,1,Loyal
10,2005-08-01,8,32.92,11,45.89,Low Value,Low Value,True,0,Low Value
11,2005-07-01,11,53.89,3,15.97,High Value,High Value,True,1,Loyal
11,2005-08-01,8,28.92,11,53.89,Low Value,High Value,False,0,Low Value
11,2006-02-01,1,0.99,8,28.92,Low Value,Low Value,True,0,Low Value
12,2005-07-01,13,39.87,6,26.94,High Value,High Value,True,1,Loyal
12,2005-08-01,7,26.93,13,39.87,Low Value,High Value,False,0,Low Value
13,2005-07-01,13,61.87,4,19.96,High Value,High Value,True,2,High Value
13,2005-08-01,10,49.9,13,61.87,High Value,High Value,True,0,Low Value
14,2005-07-01,12,50.88,1,4.99,High Value,High Value,True,1,Loyal
14,2005-08-01,9,35.91,12,50.88,Low Value,Low Value,True,0,Low Value
14,2006-02-01,1,4.99,9,35.91,Low Value,Low Value,True,0,Low Value
15,2005-07-01,9,40.91,3,9.97,Big Spender,High Value,False,1,Loyal
15,2005-08-01,18,79.82,9,40.91,High Value,Low Value,False,2,High Value
15,2006-02-01,2,3.98,18,79.82,Low Value,Low Value,True,0,Low Value
16,2005-07-01,10,34.9,4,23.96,Loyal,High Value,False,1,Loyal
16,2005-08-01,10,48.9,10,34.9,High Value,High Value,True,2,High Value
17,2005-07-01,9,43.91,3,20.97,Big Spender,High Value,False,1,Loyal
17,2005-08-01,6,22.94,9,43.91,Low Value,Low Value,True,0,Low Value
18,2005-07-01,9,33.91,4,25.96,Low Value,High Value,False,1,Loyal
18,2005-08-01,6,18.94,9,33.91,Low Value,Low Value,True,0,Low Value
19,2005-07-01,6,34.94,3,8.97,Low Value,High Value,False,1,Loyal
19,2005-08-01,9,54.91,6,34.94,Big Spender,Low Value,False,2,High Value
20,2005-07-01,10,42.9,4,14.96,High Value,High Value,True,1,Loyal
20,2005-08-01,13,45.87,10,42.9,High Value,Low Value,False,2,High Value
21,2005-07-01,9,31.91,5,31.95,Low Value,High Value,False,1,Loyal
21,2005-08-01,17,79.83,9,31.91,High Value,Low Value,False,2,High Value
21,2006-02-01,1,2.99,17,79.83,Low Value,Low Value,True,0,Low Value
22,2005-07-01,7,31.93,1,2.99,Low Value,High Value,False,1,Loyal
22,2005-08-01,10,54.9,7,31.93,High Value,Loyal,False,2,High Value
22,2006-02-01,1,4.99,10,54.9,Low Value,Low Value,True,0,Low Value
23,2005-07-01,13,60.87,5,16.95,High Value,Low Value,False,2,High Value
23,2005-08-01,8,25.92,13,60.87,Low Value,High Value,False,0,Low Value
23,2006-02-01,1,2.99,8,25.92,Low Value,Low Value,True,0,Low Value
24,2005-07-01,9,26.91,5,24.95,Low Value,High Value,False,1,Loyal
24,2005-08-01,9,33.91,9,26.91,Low Value,High Value,False,1,Loyal
25,2005-07-01,12,39.88,6,33.94,High Value,Low Value,False,1,Loyal
25,2005-08-01,9,30.91,12,39.88,Low Value,Low Value,True,0,Low Value
26,2005-07-01,13,46.87,7,41.93,High Value,Low Value,False,2,High Value
26,2005-08-01,12,57.88,13,46.87,High Value,Low Value,False,2,High Value
27,2005-07-01,12,46.88,8,30.92,High Value,Low Value,False,2,High Value
27,2005-08-01,10,45.9,12,46.88,High Value,High Value,True,2,High Value
28,2005-07-01,14,51.86,5,13.95,High Value,High Value,True,1,Loyal
28,2005-08-01,10,36.9,14,51.86,Loyal,Low Value,False,0,Low Value
28,2006-02-01,1,2.99,10,36.9,Low Value,High Value,False,0,Low Value
29,2005-07-01,11,46.89,7,21.93,High Value,Low Value,False,1,Loyal
29,2005-08-01,16,68.84,11,46.89,High Value,Big Spender,False,2,High Value
29,2006-02-01,1,0.99,16,68.84,Low Value,Low Value,True,0,Low Value
30,2005-07-01,19,73.81,4,12.96,High Value,High Value,True,2,High Value
30,2005-08-01,11,36.89,19,73.81,Loyal,Loyal,True,0,Low Value
31,2005-07-01,11,48.89,11,35.89,High Value,High Value,True,2,High Value
31,2005-08-01,4,19.96,11,48.89,Low Value,Low Value,True,0,Low Value
